cell,target_quota,soft_ceiling,filled,ppmi_distinct_patnos,ppmi_rows,custom_prop
"(Interval(1.722, 2.166, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(41.499, 57.769, closed='right'))",9,12,12,81,177,0.02040816326530612
"(Interval(2.166, 2.933, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(70.769, 79.756, closed='right'))",9,12,12,29,30,0.02040816326530612
"(Interval(1.722, 2.166, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(66.078, 70.769, closed='right'))",9,12,9,35,44,0.02040816326530612
"(Interval(0.604, 1.168, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(62.26, 66.078, closed='right'))",6,8,8,27,27,0.013605442176870748
"(Interval(0.604, 1.168, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,44,44,0.013605442176870748
"(Interval(1.168, 1.722, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(66.078, 70.769, closed='right'))",6,8,8,15,18,0.013605442176870748
"(Interval(1.168, 1.722, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,12,12,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(57.769, 62.26, closed='right'))",6,8,8,69,133,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(62.26, 66.078, closed='right'))",6,8,8,70,117,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,54,65,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,31,31,0.013605442176870748
"(Interval(2.933, 6.546, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,12,12,0.013605442176870748
"(Interval(2.933, 6.546, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,8,8,8,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(66.078, 70.769, closed='right'))",9,12,7,14,14,0.02040816326530612
"(Interval(0.604, 1.168, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(41.499, 57.769, closed='right'))",6,8,7,34,35,0.013605442176870748
"(Interval(1.168, 1.722, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(62.26, 66.078, closed='right'))",6,8,7,8,8,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(41.499, 57.769, closed='right'))",6,8,7,27,42,0.013605442176870748
"(Interval(2.166, 2.933, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(41.499, 57.769, closed='right'))",6,8,7,24,29,0.013605442176870748
"(Interval(2.166, 2.933, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(57.769, 62.26, closed='right'))",6,8,7,12,12,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(57.769, 62.26, closed='right'))",9,12,6,12,12,0.02040816326530612
"(Interval(2.166, 2.933, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(66.078, 70.769, closed='right'))",6,8,6,16,16,0.013605442176870748
"(Interval(2.166, 2.933, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(70.769, 79.756, closed='right'))",6,8,6,8,8,0.013605442176870748
"(Interval(1.722, 2.166, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(62.26, 66.078, closed='right'))",9,12,5,22,25,0.02040816326530612
"(Interval(0.604, 1.168, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(66.078, 70.769, closed='right'))",5,5,5,5,5,0.013605442176870748
"(Interval(1.168, 1.722, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(57.769, 62.26, closed='right'))",6,7,4,7,9,0.013605442176870748
"(Interval(0.604, 1.168, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(57.769, 62.26, closed='right'))",3,4,4,17,17,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(66.078, 70.769, closed='right'))",3,4,4,54,55,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(70.769, 79.756, closed='right'))",3,4,4,9,9,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(70.769, 79.756, closed='right'))",3,4,4,15,15,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(70.769, 79.756, closed='right'))",3,4,4,11,11,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(41.499, 57.769, closed='right'))",3,4,4,13,13,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(70.769, 79.756, closed='right'))",3,4,4,16,18,0.006802721088435374
"(Interval(1.722, 2.166, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(62.26, 66.078, closed='right'))",3,4,4,16,18,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(62.26, 66.078, closed='right'))",3,4,4,15,16,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(66.078, 70.769, closed='right'))",3,4,4,22,24,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(70.769, 79.756, closed='right'))",3,4,4,20,21,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(66.078, 70.769, closed='right'))",3,4,4,8,8,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(62.26, 66.078, closed='right'))",5,5,3,5,5,0.013605442176870748
"(Interval(2.166, 2.933, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(41.499, 57.769, closed='right'))",4,4,3,4,4,0.027210884353741496
"(Interval(0.604, 1.168, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(66.078, 70.769, closed='right'))",3,3,3,3,3,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(41.499, 57.769, closed='right'))",3,4,3,11,11,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(57.769, 62.26, closed='right'))",3,4,3,4,4,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(66.078, 70.769, closed='right'))",3,3,3,3,3,0.02040816326530612
"(Interval(1.722, 2.166, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(41.499, 57.769, closed='right'))",3,4,3,11,11,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(41.499, 57.769, closed='right'))",3,4,3,13,13,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(57.769, 62.26, closed='right'))",3,4,3,5,5,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(62.26, 66.078, closed='right'))",3,4,3,4,4,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(66.078, 70.769, closed='right'))",3,4,3,7,7,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(70.769, 79.756, closed='right'))",3,3,3,3,3,0.013605442176870748
"(Interval(0.604, 1.168, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(41.499, 57.769, closed='right'))",3,3,2,3,3,0.013605442176870748
"(Interval(1.168, 1.722, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(62.26, 66.078, closed='right'))",3,3,2,3,3,0.027210884353741496
"(Interval(1.722, 2.166, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(66.078, 70.769, closed='right'))",3,4,2,6,7,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(57.769, 62.26, closed='right'))",3,3,2,3,3,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(70.769, 79.756, closed='right'))",3,3,2,3,3,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(57.769, 62.26, closed='right'))",2,2,2,2,2,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(41.499, 57.769, closed='right'))",2,2,2,2,2,0.013605442176870748
"(Interval(0.604, 1.168, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(57.769, 62.26, closed='right'))",2,2,2,2,2,0.02040816326530612
"(Interval(1.168, 1.722, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(41.499, 57.769, closed='right'))",2,2,2,2,2,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(57.769, 62.26, closed='right'))",2,2,2,2,2,0.013605442176870748
"(Interval(2.933, 6.546, closed='right'), Interval(2.255, 6.553, closed='right'), Interval(41.499, 57.769, closed='right'))",2,2,2,2,2,0.013605442176870748
"(Interval(2.933, 6.546, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(41.499, 57.769, closed='right'))",2,2,2,2,2,0.02040816326530612
"(Interval(1.168, 1.722, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(66.078, 70.769, closed='right'))",3,3,1,3,3,0.027210884353741496
"(Interval(1.168, 1.722, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(62.26, 66.078, closed='right'))",2,2,1,2,2,0.027210884353741496
"(Interval(1.168, 1.722, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(62.26, 66.078, closed='right'))",2,2,1,2,2,0.02040816326530612
"(Interval(2.166, 2.933, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(62.26, 66.078, closed='right'))",2,2,1,2,2,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(57.769, 62.26, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(66.078, 70.769, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(0.604, 1.168, closed='right'), Interval(12.798, 27.88, closed='right'), Interval(66.078, 70.769, closed='right'))",1,1,1,1,1,0.02040816326530612
"(Interval(1.168, 1.722, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(57.769, 62.26, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(1.168, 1.722, closed='right'), Interval(12.798, 27.88, closed='right'), Interval(41.499, 57.769, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(1.722, 2.166, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(62.26, 66.078, closed='right'))",1,1,1,1,1,0.013605442176870748
"(Interval(2.166, 2.933, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(66.078, 70.769, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(57.769, 62.26, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(2.166, 2.933, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(62.26, 66.078, closed='right'))",1,1,1,1,1,0.02040816326530612
"(Interval(2.166, 2.933, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(66.078, 70.769, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(6.553, 8.81, closed='right'), Interval(57.769, 62.26, closed='right'))",1,1,1,1,1,0.02040816326530612
"(Interval(2.933, 6.546, closed='right'), Interval(8.81, 10.433, closed='right'), Interval(57.769, 62.26, closed='right'))",1,1,1,1,1,0.006802721088435374
"(Interval(1.722, 2.166, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(57.769, 62.26, closed='right'))",2,2,0,2,3,0.02040816326530612
"(Interval(1.722, 2.166, closed='right'), Interval(12.798, 27.88, closed='right'), Interval(41.499, 57.769, closed='right'))",1,1,0,1,1,0.006802721088435374
"(Interval(2.933, 6.546, closed='right'), Interval(10.433, 12.798, closed='right'), Interval(66.078, 70.769, closed='right'))",1,1,0,1,1,0.013605442176870748
